BrandID,BrandType,BrandName
BR22,Chain,Phúc Long
BR16,Chain,Milano
BR32,Chain,Trung Nguyên
BR25,Chain,Starbucks
BR09,Chain,Highlands Coffee
BR31,Chain,Thức Coffee
BR29,Chain,The Coffee House
BR21,Chain,Passio
BR34,Chain,Viva Star
BR05,Chain,Cộng Cà Phê
BR06,Chain,Đen Đá
BR04,Chain,Coffee Bean & Tea Leaf
BR33,Chain,Urban Station
BR07,Chain,Effoc
BR28,Chain,The Coffee Factory
BR23,Chain,Runam cafe
BR17,Chain,Mộc Miên
BR18,Chain,Nia cafe
BR01,Chain,Aha Cafe
BR27,Street,Street / Half street coffee (including carts)
BR20,Chain,Others
BR13,Chain,Long Cafe
BR02,Chain,BonPas
BR14,Chain,Maxx Coffee
BR10,Independent,Independent Cafe
BR19,Chain,Other Branded Cafe Chain
BR11,Chain,KOI cafe
BR24,Chain,Saigon Café
BR08,Chain,Gong Cha
BR26,Street,Street
BR30,Chain,The Cups Coffee
BR12,Chain,Laha Coffee
BR15,Chain,Mê Trang
BR03,Chain,Cheese Coffee
